peak,gene_symbol,ENSEMBL_ID,score,chromosome,strand,start,end
X17233,NA,LRG_880,186511.62899065,chr8,-,143901600,143979799
X17233,EPPK1,ENSG00000261150,186511.62899065,chr8,-,143901600,143979799
X17252,ADCK5,ENSG00000173137,171383.757591724,chr8,+,144387200,144531199
X13628,MICALL2,ENSG00000164877,156252.716317654,chr7,-,1422800,1512599
X13687,TTYH3,ENSG00000136295,127407.403020859,chr7,+,2629800,2672599
X17248,SCX,ENSG00000260428,108053.269396305,chr8,+,144238000,144362599
X27911,TNFRSF12A,ENSG00000006327,98073.189353466,chr16,+,3018800,3052799
X13629,NA,ENSG00000231927,97611.9760518074,chr7,-,1513400,1574999
X13896,FSCN1,ENSG00000075618,82329.8694581985,chr7,+,5580600,5659199
X13664,MAD1L1,ENSG00000002822,78216.954931736,chr7,-,2192800,2268199
X22861,MRPL51,ENSG00000111639,77254.2597470284,chr12,-,6498000,6584199
X12119,NA,LRG_145,76478.1888990402,chr5,-,177418400,177517399
X12119,F12,ENSG00000131187,76478.1888990402,chr5,-,177418400,177517399
X23776,KRT80,ENSG00000167767,70590.1118898392,chr12,-,52165000,52200399
X17209,NA,ENSG00000264668,68997.0456004143,chr8,+,143256400,143284199
X29473,ASB16-AS1,ENSG00000267080,65902.3955278397,chr17,-,44183200,44224199
X22871,GPR162,ENSG00000250510,65287.0523381233,chr12,+,6812200,6885599
X13596,MIR339,ENSG00000199023,64074.799366951,chr7,-,1017000,1036599
X26945,INAFM2,ENSG00000259330,63828.911339283,chr15,+,40321800,40350599
X34251,DGCR8,ENSG00000128191,58378.7089996338,chr22,+,20085600,20118199
X13894,NA,ENSG00000230733,57166.7615308762,chr7,+,5473400,5563799
X25218,THTPA,ENSG00000259431,55611.5891466141,chr14,+,23545000,23584399
X33236,NA,ENSG00000279253,53422.8778681755,chr20,-,35263200,35280999
X26125,ZFP36L1,ENSG00000185650,53110.6251063347,chr14,-,68780600,68803999
X22874,ENO2,ENSG00000111674,52799.7943210602,chr12,+,6912600,6949599
X25219,DHRS2,ENSG00000100867,52102.2152047157,chr14,+,23636400,23660399
X13680,GRIFIN,ENSG00000275572,50027.3525166512,chr7,-,2494400,2550199
X31685,RPL36,ENSG00000130255,49676.2504849434,chr19,+,5670600,5720799
X13925,USP42,ENSG00000106346,49365.9330124855,chr7,+,6137200,6208999
X34245,COMT,ENSG00000093010,48250.7998285294,chr22,+,19938800,20003599
X25901,PLEKHG3,ENSG00000126822,47969.6833534241,chr14,+,64703400,64750599
X3722,FOSL2,ENSG00000075426,47661.8407959938,chr2,+,28387000,28416399
X23102,EMP1,ENSG00000134531,47233.301460743,chr12,+,13194600,13222199
X21722,MYEOV,ENSG00000172927,46014.5725560188,chr11,+,69283400,69317199
X27866,NA,ENSG00000261207,45860.3814091682,chr16,-,1760000,1800799
X34982,ACO2,ENSG00000100412,44404.388920784,chr22,+,41506800,41537399
X17191,LOC101928087,ENSG00000277332,43948.2623186111,chr8,+,142646400,142685199
X19210,FXYD4,ENSG00000150201,43389.912402153,chr10,+,43382000,43411999
X25121,NA,ENSG00000233695,43369.4105949402,chr13,+,113834600,113857999
X30575,NA,ENSG00000229947,41634.8997869492,chr17,+,81507000,81563799
X34470,MYO18B,ENSG00000133454,40727.3127217293,chr22,+,25737800,25788999
X33752,NKAIN4,ENSG00000101198,39677.2004084587,chr20,-,63267600,63298799
X32615,PTOV1,ENSG00000104960,38034.015953064,chr19,+,49846600,49893599
X13675,SNX8,ENSG00000106266,37778.9765081406,chr7,-,2362000,2413199
